# Gene IDs passing expressed in olfactory bulb (UBERON:0002264) filter
# Total: 18
ENSMUSG00000076607	ENSMUST00000103408	Igkj4			
ENSMUSG00000076619	ENSMUST00000103428	Ighj3			
ENSMUSG00000076621	ENSMUST00000103430	Ighj1			
ENSMUSG00000048355	ENSMUST00000057625	Arxes1	76219	NM_029541	NP_083817
ENSMUSG00000109941	ENSMUST00000210390	Exosc6	72544	NM_028274	NP_082550
ENSMUSG00000027581	ENSMUST00000103045	Stmn3	20262	NM_009133	NP_033159
ENSMUSG00000076875	ENSMUST00000103687	Traj58			
ENSMUSG00000076891	ENSMUST00000103703	Traj39			
ENSMUSG00000076892	ENSMUST00000103704	Traj38			
ENSMUSG00000076896	ENSMUST00000103708	Traj33			
ENSMUSG00000076900	ENSMUST00000103712	Traj29			
ENSMUSG00000076901	ENSMUST00000103713	Traj28			
ENSMUSG00000076914	ENSMUST00000103726	Traj15			
ENSMUSG00000041378	ENSMUST00000043577	Cldn5	12741	NM_013805	NP_038833
ENSMUSG00000050621	ENSMUST00000053150	Rps27rt	100043813	NM_001190258	NP_001177187
ENSMUSG00000033940	ENSMUST00000035725	Brk1	101314	NM_133937	NP_598698
ENSMUSG00000028367	ENSMUST00000030051	Txn1	22166	NM_011660	NP_035790
ENSMUSG00000078202	ENSMUST00000104999	Nrarp	67122	NM_025980	NP_080256
